Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"A.J. Cole","WSN","A.J. Cole","WSN",2018,26,4,3,4,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0.333333333,0,0,0,0.25,0,0.333333333,1.333333333,1.666666666,1,0,0,0,0,1,0,0.5,0,0,0.6769428253173828,1.1820838752134497,1.6494084301336462,1.153185516868418,0.1809560371039014,0.14285714,336.1291284955368,0,0.4822360575199127,0,,1.153185516868418,,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,80.83000183105469,35.01000213623047,0,0,105.167,1,0.33333333,3,,,,,0.25,0.625,0.5,1,1,1,0.66666667,19.25,"A.J. Cole",11467,595918
"A.J. Ellis","SDP","A.J. Ellis","SDP",2018,37,66,151,183,41,32,8,0,1,19,15,26,1,37,1,2,3,2,0,0,0.271523178,2,0,0.142076502,0.202185792,0.702702702,0.377777777,0.34437086,0.722148637,0.072847682,0.347826086,1.444444444,0.234782608,0.452173913,0.313043478,0.083333333,0.027777777,0.038461538,0,0.324650422487845,1.4871028747846475,22.867201262383638,1.1948582988669267,-0.2906255120490485,1.22240259,105.34780657408002,-1.8974820510484278,-7.723555564880371,-0.14202679554000497,-1.800000011920929,-0.7026237521815011,0.30000001192092896,0.42016807,0.30252101,0.27731092,0.12605042,0.4789916,0.39495798,90.37729936079545,12.530718439275569,5,0.04201681,106.831,44,0.3697479,119,0.242,0.361,0.321,-1.7554552555084229,0.14243323,0.55782313,0.37789203,0.66666667,0.90650407,0.86734694,0.56683805,21.4438861,"A.J. Ellis",5677,454560
"Aaron Altherr","PHI","Aaron Altherr","PHI",2018,27,105,243,285,44,24,11,1,8,28,38,36,0,91,4,2,0,13,3,2,0.181069958,6,0,0.126315789,0.319298245,0.395604395,0.294736842,0.333333333,0.628070175,0.152263375,0.246575342,1.37735849,0.181818181,0.474025974,0.344155844,0.150943396,0.150943396,0.08219178,0,0.28195578466381943,-7.610464334328419,25.686410203735583,-9.049577317972428,0.060654526799315434,3.7997513853985954,73.99278720642958,0.6239568293094635,0.2890021800994873,-0.36987540125846863,0.699999988079071,-8.425620488662965,-1.5,0.38311688,0.3961039,0.22077922,0.21428571,0.41558442,0.37012987,90.43794041053921,10.216816821129493,15,0.0974026,114.636,70,0.45454545,154,0.214,0.382,0.317,0.9938322305679321,0.21366025,0.68466899,0.44978166,0.30327869,0.80661578,0.68737864,0.50131004,21.39302326,"Aaron Altherr",11270,571437
"Aaron Hicks","NYY","Aaron Hicks","NYY",2018,28,137,480,581,119,71,18,3,27,90,79,90,1,111,3,6,2,1,11,2,0.247916666,11,2,0.154905335,0.191049913,0.81081081,0.366148531,0.466666666,0.832815197,0.21875,0.264367816,1.042253521,0.216216216,0.4,0.383783783,0.119718309,0.190140845,0.074324324,0.285714285,0.3598501572971938,21.40499717685006,89.28388877900862,19.819358050251225,4.00563310647577,5.318519095137221,128.53512610737735,2.4713828035164624,-3.1955933570861816,0.9876995750237256,3.4000000953674316,22.290740853767687,2.5999999046325684,0.4535809,0.36870027,0.17771883,0.18567639,0.41909814,0.39522546,89.70718961148648,13.218405563766892,32,0.08488064,110.011,162,0.42970822,377,0.262,0.465,0.372,1.4836832284927368,0.15610143,0.64379085,0.39621883,0.60406091,0.82360406,0.77969543,0.4923572,24.98546042,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2018,26,112,413,498,115,66,22,0,27,77,67,76,3,152,4,5,0,10,6,3,0.278450363,10,0,0.152610441,0.305220883,0.5,0.391566265,0.527845036,0.919411301,0.249394673,0.368200836,1.193548387,0.233082706,0.417293233,0.34962406,0.05376344,0.29032258,0.09009009,0,0.39098546348436913,30.996192975736644,89.17810006330112,29.637073724366214,5.093860361242992,3.0459172286227143,149.78199796918554,-0.7408530449029058,3.601520538330078,-0.36990377656184137,1.2000000476837158,28.89622067946331,0.6000000238418579,0.40225564,0.31203008,0.28571429,0.13533835,0.38345865,0.48120301,94.70292675046993,12.352563843691259,41,0.15413534,119.905,144,0.54135338,266,0.273,0.527,0.393,-0.37094926834106445,0.19437115,0.64430894,0.40311174,0.33936652,0.76971609,0.65847953,0.46393211,22.49284381,"Aaron Judge",15640,592450
"Aaron Nola","PHI","Aaron Nola","PHI",2018,25,33,62,70,3,2,1,0,0,0,4,1,0,36,0,0,7,3,0,0,0.048387096,1,0,0.014285714,0.514285714,0.027777777,0.063492063,0.064516129,0.128008192,0.016129033,0.115384615,3.75,0.136363636,0.681818181,0.181818181,0,0,0.066666666,0,0.05866453855756729,-14.620266341742278,-6.442086630638839,-14.97373268860221,-0.45280539576285594,0.14285714,-75.20335247093311,-0.00734621356241405,8.439130783081055,-0.00734621356241405,,-14.981078902164624,,0.18181818,0.33333333,0.48484848,0.36363636,0.57575758,0.06060606,83.16058904474431,-9.448408647017045,0,0,101.323,2,0.06060606,33,0.066,0.078,0.074,,0.12222222,0.4137931,0.31439394,0.63636364,0.76388889,0.74698795,0.65909091,19.7253886,"Aaron Nola",16149,605400
"Aaron Sanchez","TOR","Aaron Sanchez","TOR",2018,25,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.25671857596968783,-0.1398874372396387,-0.26030706615780963,-0.010874404213605901,0.14285714,-100,0,0.12055901437997818,0,,-0.26030706615780963,,0,0,1,0,0,1,85.38400268554688,2.0329999923706055,0,0,85.384,0,0,1,0.239,0.256,0.215,,0,0.5,0.33333333,,1,1,0.66666667,12.5,"Aaron Sanchez",11490,592717
"Aaron Wilkerson","MIL","Aaron Wilkerson","MIL",2018,29,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.5134371519393757,-0.2797748744792774,-0.5246760398454502,-0.02288589343620403,0.14285714,-100,0,0.24111802875995636,0,,-0.5246760398454502,,1,0,0,0,1,0,94.76699829101562,-28.70199966430664,0,0,94.767,0,0,1,0.043,0.043,0.039,,0,0.5,0.33333333,,0.66666667,0.66666667,0.66666667,15.42857143,"Aaron Wilkerson",16904,658792
"Abiatal Avelino","SFG","Abiatal Avelino","SFG",2018,23,6,11,11,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.272727272,0,0,0,0.272727272,0,0.272727272,0.272727272,0.545454544,0,0.375,6,0.125,0.75,0.125,0,0,0,0,0.2398720166899941,-0.6713814167269044,0.613761109303636,-0.686930510211783,-0.05197077148066776,1.60119047125,48.8517832195706,0.1989154659677297,-0.35363972187042236,-0.00734621356241405,0.20000000298023224,-0.4880150442440533,0,0.5,0.375,0.125,0.125,0.5,0.375,87.24349975585938,-3.5368752479553223,0,0,109.736,3,0.375,8,0.254,0.351,0.265,0.20626167953014374,0.5,0.6,0.54285714,0.4,1,0.68421053,0.42857143,22.54545455,"Abiatal Avelino",15496,623214
"Abraham Almonte","KCR","Abraham Almonte","KCR",2018,29,50,134,151,24,18,1,2,3,15,9,15,0,36,0,1,1,6,2,2,0.179104477,1,0,0.099337748,0.238410596,0.416666666,0.26,0.283582089,0.543582089,0.104477612,0.21875,1.44117647,0.135416666,0.510416666,0.354166666,0.058823529,0.088235294,0.020408163,0,0.24447164336840313,-8.649637802192272,8.991864146045147,-9.44355888540417,-0.8005596938845194,5.342546431397689,47.68513722887295,0.550726912682876,-4.034648187458515,-0.49396453076042235,1.100000023841858,-8.892831972721295,-1.2999999523162842,0.36,0.35,0.29,0.13,0.49,0.38,89.0873514811198,7.679489771525065,7,0.07,110.918,37,0.37,100,0.24,0.405,0.323,1.0446914434432983,0.27950311,0.61188811,0.43585526,0.51111111,0.82857143,0.72075472,0.47039474,22.68539326,"Abraham Almonte",5486,501659
"Adalberto Mejía","MIN","Adalberto Mejía","MIN",2018,25,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25671857596968783,-0.1398874372396387,-0.2604948058876909,-0.010893730022389546,0.14285714,-100,0,0.12055901437997818,0,,-0.2604948058876909,,,,,,,,,,0,,,0,,0,,,0,,0.5,1,0.75,0.5,0.75,0.66666667,0.5,28.42857143,"Adalberto Mejia",13188,606167
"Adalberto Mondesi","KCR","Adalberto Mondesi","KCR",2018,22,75,275,291,76,46,13,3,14,47,37,11,0,77,1,1,3,2,32,7,0.276363636,8,4,0.037800687,0.26460481,0.142857142,0.305555555,0.498181818,0.803737373,0.221818182,0.335135135,1.098591549,0.211640211,0.412698412,0.375661375,0.126760563,0.197183098,0.102564102,0.307692307,0.34077888789276284,6.193527373398445,40.191388743842744,4.663520517672203,2.754010899211113,8.645972843441148,113.40563059648727,5.318022744264454,6.846420764923096,3.4119266434572637,1.0000000596046448,9.981543261936658,0.699999988079071,0.41584158,0.40594059,0.17821782,0.17821782,0.39108911,0.43069307,89.99941096230158,13.712450138475528,22,0.10891089,108.373,74,0.36633663,202,0.255,0.48,0.33,1.90609610080719,0.32325142,0.76684882,0.54916512,0.39181287,0.78622328,0.6722973,0.50927644,21.61836999,"Adalberto Mondesi",13769,609275
"Adam Cimber","SDP","Adam Cimber","SDP",2018,27,42,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0268743038787513,-0.5595497489585548,-1.0332621634616523,-0.044115501095349216,0.14285714,-100,0,0.4822360575199127,0,,-1.0332621634616523,,0,1,0,1,0,0,68.53500366210938,48.625999450683594,0,0,68.535,0,0,1,,,,,0.42857143,1,0.69230769,0.33333333,0.33333333,0.33333333,0.46153846,17.66666667,"Adam Cimber",15288,643256
"Adam Duvall","ATL","Adam Duvall","ATL",2018,29,33,53,57,7,6,1,0,0,8,0,3,0,17,1,0,0,1,0,0,0.132075471,0,0,0.052631578,0.298245614,0.176470588,0.192982456,0.150943396,0.343925852,0.018867925,0.194444444,0.318181818,0.194444444,0.194444444,0.611111111,0.181818181,0,0,0,0.16338987622344703,-7.035374799508814,-0.3759998918960137,-7.473110103745226,-0.639655106565523,2.64285714,-7.383338397416309,0.48165392642840743,-0.9676143825054169,-0.024487378541380167,0.40000003576278687,-6.9914561773168185,0.30000001192092896,0.5,0.25,0.25,0.16666667,0.52777778,0.30555556,89.95035807291667,31.04391818576389,0,0,109.589,11,0.30555556,36,,,,0.5061413049697876,0.43877551,0.72916667,0.58247423,0.60465116,0.75714286,0.69911504,0.49484536,26.13740458,"Adam Duvall",10950,594807
"Adam Duvall","CIN","Adam Duvall","CIN",2018,29,105,331,370,68,34,19,0,15,40,61,34,3,100,4,1,0,8,2,2,0.205438066,8,0,0.091891891,0.27027027,0.34,0.286486486,0.39879154,0.685278026,0.193353474,0.244239631,0.698113207,0.224137931,0.318965517,0.456896551,0.160377358,0.141509433,0.108108108,0,0.295152075446594,-5.897079455346301,37.33044187477188,-8.874648484081462,0.9165820953186588,2.35180492267577,80.35464811499469,0.36214829864911735,6.088308334350586,-0.582119093509391,1.1000001430511475,-8.512500185432344,1.2999999523162842,0.46551724,0.34482759,0.18965517,0.18534483,0.43965517,0.375,88.81194196428571,21.26018203801407,26,0.11206897,109.395,98,0.42241379,232,,,,0.9442673921585083,0.28510638,0.68151147,0.48824343,0.52238806,0.83168317,0.74362606,0.51244813,25.82139535,"Adam Duvall",10950,594807
"Adam Eaton","WSN","Adam Eaton","WSN",2018,29,95,319,370,96,72,18,1,5,55,33,38,0,64,11,0,2,2,9,1,0.300940438,15,6,0.102702702,0.172972972,0.59375,0.394021739,0.410658307,0.804680046,0.109717869,0.364,1.8,0.263157894,0.47368421,0.263157894,0.123076923,0.076923076,0.128205128,0.6,0.35769998865283054,12.982401993842583,56.20992332396076,10.309303846927147,1.5172764795764553,5.413596716481532,122.82117450912028,0.9983738453593105,-7.896450042724609,1.097124652704224,-0.5,11.307677692286457,0.6000000238418579,0.31906615,0.31906615,0.3618677,0.18677043,0.48638132,0.32684825,87.70146444838056,8.991243688071647,8,0.0311284,109.431,78,0.30350195,257,0.271,0.373,0.336,-0.09875080734491348,0.26538988,0.58602151,0.42711864,0.69072165,0.89449541,0.83174603,0.50440678,21.80091743,"Adam Eaton",11205,594809
"Adam Engel","CHW","Adam Engel","CHW",2018,26,143,429,463,101,74,17,4,6,49,29,18,0,129,8,1,7,1,16,8,0.235431235,12,7,0.038876889,0.27861771,0.139534883,0.278508771,0.335664335,0.614173106,0.1002331,0.322033898,1,0.183673469,0.408163265,0.408163265,0.183333333,0.05,0.1,0.5,0.2696487453945896,-17.012137236803895,37.080679995208854,-17.542336749643212,1.1296618381510126,6.442059070628773,68.30631058898524,1.4229259258136153,11.300937056541443,-0.29749848786741495,1.4000000953674316,-16.119410823829597,2,0.45454545,0.30844156,0.23701299,0.25,0.49350649,0.25649351,87.04489530187075,14.731195339163822,7,0.02272727,113.354,99,0.32142857,308,0.208,0.298,0.247,1.7204244136810303,0.34566327,0.68467475,0.52749852,0.46494465,0.80676329,0.7029148,0.53636901,22.30180921,"Adam Engel",15082,641553
