Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,WAR,Spd,wRC+,BsR,Def,wSB,UBR,Off,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,XBR,O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),NameASCII,PlayerId,MLBAMID
"Aaron Altherr","- - -","Aaron Altherr","- - -",2019,28,49,61,66,5,2,2,0,1,8,3,3,0,25,1,1,0,1,0,0,0.081967213,1,0,0.045454545,0.378787878,0.12,0.136363636,0.163934426,0.300298062,0.081967213,0.111111111,0.75,0.243243243,0.324324324,0.432432432,0.125,0.0625,0.083333333,0,0.13488149191393997,-10.557634179906776,-2.253670816736151,-10.69562099637263,-0.7865444556180876,2.64285714,-22.663758874660157,0.34188846312463284,0.14977919682860374,-0.013072455301880836,0,-10.353732533247998,0.10000000894069672,0.45945946,0.2972973,0.24324324,0.16216216,0.59459459,0.24324324,85.26486618454392,16.783783783783782,2,0.05405405,113.5,8,0.21621622,37,0.157,0.272,0.21,0.35496091842651367,0.26229508,0.72413793,0.51310861,0.40625,0.73333333,0.65693431,0.54307116,21.155,"Aaron Altherr",11270,571437
"Aaron Brooks","- - -","Aaron Brooks","- - -",2019,29,29,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,-1.1062290720254646,-0.6029585651666389,-1.1242575101167427,-0.04736419206938398,0.14285714,-100,0,0.49176502227783203,0,,-1.1242575101167427,,0.66666667,0,0.33333333,0.33333333,0.66666667,0,85.60000610351562,-12.5,0,0,88.3,0,0,3,,,,,0.5,0.5,0.5,0.25,0.75,0.5,0.5,18.66666667,"Aaron Brooks",12272,605156
"Aaron Civale","CLE","Aaron Civale","CLE",2019,24,10,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.5531145360127323,-0.30147928258331946,-0.5580955173626774,-0.02329035678222958,0.14285714,-100,0,0.24588251113891602,0,,-0.5580955173626774,,0,1,0,1,0,0,76.30000305175781,-63,0,0,76.3,0,0,1,0.134,0.151,0.131,,0.25,0.25,0.25,1,1,1,0.5,22.16666667,"Aaron Civale",19479,650644
"Aaron Hicks","NYY","Aaron Hicks","NYY",2019,29,59,221,255,52,30,10,0,12,41,36,31,0,72,0,3,0,2,1,2,0.235294117,5,0,0.121568627,0.282352941,0.430555555,0.325490196,0.443438914,0.76892911,0.208144797,0.285714285,1.064516129,0.157894736,0.434210526,0.407894736,0.14516129,0.193548387,0.075757575,0,0.325209501210381,1.1621796367941808,33.245674449044316,0.818602073031516,0.5561345816563862,2.7198396833122693,102.5117052938886,-1.3027400998398662,-3.0238624811172485,-0.8034682301804423,-0.19999998807907104,-0.48413802680835016,0.8999999761581421,0.45394737,0.30921053,0.23684211,0.22368421,0.39473684,0.38157895,89.82516297599338,14.28476821192053,12,0.07894737,111,56,0.36842105,152,0.207,0.38,0.296,-0.49927186965942383,0.21119134,0.62208068,0.4,0.41880342,0.80546075,0.69512195,0.4595122,25.2847769,"Aaron Hicks",5297,543305
"Aaron Judge","NYY","Aaron Judge","NYY",2019,27,102,378,447,103,57,18,1,27,75,55,64,4,141,3,1,0,11,3,2,0.272486772,6,0,0.143176733,0.315436241,0.453900709,0.381165919,0.539682539,0.920848458,0.267195767,0.360189573,1.246753246,0.273109243,0.403361344,0.323529411,0.025974025,0.35064935,0.0625,0,0.38221578711298254,24.0640021626766,80.30448130415036,23.461730903845577,4.158121103847049,3.5562614568564177,141.06658102684742,-0.5285399488639086,3.691340446472168,-0.5320140346884727,1.399999976158142,22.93319095498167,-0.5,0.38655462,0.34453782,0.26890756,0.09243697,0.3697479,0.53781513,96.03571428571429,11.588235294117647,47,0.19665272,118.1,139,0.58158996,239,0.278,0.582,0.402,0.0034740858245640993,0.22542205,0.65317919,0.42307692,0.30396476,0.78938053,0.65025253,0.46207265,23.31012658,"Aaron Judge",15640,592450
"Aaron Nola","PHI","Aaron Nola","PHI",2019,26,34,59,70,7,5,2,0,0,6,2,6,0,35,0,0,5,0,0,0,0.118644067,1,0,0.085714285,0.5,0.171428571,0.2,0.152542372,0.352542372,0.033898305,0.291666666,3.5,0.217391304,0.608695652,0.173913043,0,0,0.071428571,0,0.16804818098361676,-9.19061405793929,-0.3833801879098406,-9.709247632186651,0.06940287303581516,2.40247252125,-5.128840442991674,-0.4156309710815549,8.605888366699219,-0.0239661680534482,,-10.124878603268206,,0.24137931,0.4137931,0.34482759,0.27586207,0.4137931,0.31034483,86.6869586447011,1.9130434782608696,0,0,100.7,6,0.20689655,29,0.112,0.133,0.162,-0.3916648030281067,0.0877193,0.31976744,0.22727273,0.4,0.92727273,0.84615385,0.6013986,18.86976744,"Aaron Nola",16149,605400
"Aaron Sanchez","- - -","Aaron Sanchez","- - -",2019,26,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,-0.5531145360127323,-0.30147928258331946,-0.5548088725462788,-0.02297113240701856,0.14285714,-100,0,0.24588251113891602,0,,-0.5548088725462788,,0,0,1,0.5,0,0.5,86.05000305175781,-6.5,0,0,92.2,0,0,2,,,,,0.5,1,0.83333333,0,0.5,0.4,0.66666667,12.5,"Aaron Sanchez",11490,592717
"Aaron Wilkerson","MIL","Aaron Wilkerson","MIL",2019,30,8,3,3,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.333333333,0,0,0,0.333333333,0,0.333333333,1.333333333,1.666666666,1,0,1,0,0.5,0.5,0,1,0,0,0.6465120315551758,0.8468855155102086,1.224338395654328,0.8247444165340734,0.12522596119190033,0.14285714,308.36869212962324,0,0.368823766708374,0,,0.8247444165340734,,1,0,0,0,0.5,0.5,87.94999694824219,-4.5,0,0,97,1,0.5,2,0.169,0.499,0.273,,0,0.6,0.42857143,,1,1,0.71428571,22,"Aaron Wilkerson",16904,658792
"Abiatal Avelino","SFG","Abiatal Avelino","SFG",2019,24,4,7,8,2,2,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0.285714285,0,0,0.125,0.375,0.333333333,0.375,0.285714285,0.660714285,0,0.5,3,0.25,0.75,0,0,0,0,0,0.3036886304616928,-0.11236256899565816,0.8941784447219931,-0.12511450590819478,-0.07893611252074183,0.14285714,88.14635232447607,-0.848086160607636,-0.09476548712700605,-0.006536227650940418,-1.100000023841858,-0.9732006665158308,0,0.25,0.5,0.25,0.25,0.75,0,83.80000305175781,-16.75,0,0,102.2,1,0.25,4,0.169,0.19,0.224,-0.8415499329566956,0.35,0.41666667,0.375,0.42857143,0.8,0.58333333,0.375,20.13043478,"Abiatal Avelino",15496,623214
"Abraham Almonte","ARI","Abraham Almonte","ARI",2019,30,17,31,38,9,4,3,1,1,11,4,7,0,8,0,0,0,1,0,0,0.29032258,0,0,0.184210526,0.210526315,0.875,0.421052631,0.548387096,0.969439727,0.258064516,0.363636363,1.428571428,0.260869565,0.434782608,0.304347826,0.428571428,0.142857142,0,0,0.4060272292086953,2.8278589693453964,7.60892878450424,2.5419730690863784,0.41331552323135384,5.14285714,150.70160236589047,0.5565622700378299,-0.055649057030677795,-0.0239661680534482,1.3999999985098839,3.0985353391242083,0.10000000149011612,0.47826087,0.26086957,0.26086957,0.26086957,0.30434783,0.43478261,89.7217433763587,9.173913043478262,1,0.04347826,111.9,10,0.43478261,23,0.24,0.397,0.348,0.5805284380912781,0.24324324,0.62650602,0.44585987,0.44444444,0.86538462,0.75714286,0.52866242,24.75652174,"Abraham Almonte",5486,501659
