Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,AVG,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2022,CLE,2338,5558,6163,1410,979,273,31,127,698,662,450,36,1122,81,52,22,115,119,27,0.253688377,6163,0.253688377,161,14,0.073016388,0.182054194,0.401069518,0.3160723,0.382511694,0.698583994,0.128823317,0.294198578,1.238451935,0.197044334,0.444245409,0.358710255,0.11173533,0.079275905,0.081149193,0.318181818,0.305640645,-19.49787664,685.2193074,5.013534032,99.82942227,6.975142852,6.99999959,-0.800000124,0.38492239,0.35521064,0.25986696,0.18093126,0.55609756,0.26297118,16.29858239
2021,TBR,2389,5507,6213,1336,790,288,36,222,857,810,585,27,1542,72,41,6,75,88,42,0.242600326,6213,0.242600326,150,9,0.094157411,0.24818928,0.379377431,0.321192586,0.428908661,0.750101247,0.186308335,0.294397463,1.10331384,0.188518425,0.425670594,0.38581098,0.109161793,0.144249512,0.088339222,0.391304347,0.322418134,40.92152253,793.0411414,4.999178817,108.7515154,-4.871554616,5.299999364,10.79999997,0.39930209,0.36091725,0.23978066,0.1774676,0.49052841,0.33200399,15.47224897
2023,BAL,2441,5495,6123,1399,879,309,28,183,807,780,512,14,1370,45,47,21,114,114,24,0.254595086,6123,0.254595086,114,7,0.08361914,0.223746529,0.373722627,0.320708312,0.420928116,0.741636428,0.16633303,0.304838305,1.111111111,0.195960567,0.423178648,0.380860783,0.106691919,0.115530303,0.064772727,0.205882352,0.320456804,10.23182125,756.283735,5.209358046,105.4369687,1.713441501,12.40000034,-0.800000012,0.40472216,0.34700692,0.24827093,0.15549726,0.51991414,0.3245886,14.42492083
2024,ARI,2436,5522,6284,1452,933,271,37,211,886,845,569,17,1265,84,66,34,112,119,30,0.262948207,6284,0.262948207,110,20,0.090547422,0.201304901,0.449802371,0.337285691,0.44005795,0.777343641,0.177109743,0.30179961,1.170639899,0.192343604,0.435574229,0.372082166,0.116060225,0.132371392,0.058949624,0.273972602,0.336565203,133.0405614,868.1307635,5.46372835,114.5101097,-0.733402617,12.99999962,2.500000142,0.42552215,0.3371586,0.23731926,0.1546936,0.52008263,0.32522378,13.24058666
2022,ARI,2407,5351,6027,1232,773,262,24,173,702,658,531,14,1341,60,50,31,97,104,29,0.230237338,6027,0.230237338,112,25,0.088103534,0.222498755,0.395973154,0.304238985,0.385161652,0.689400637,0.154924314,0.272446616,1.192746809,0.186191425,0.442671984,0.37113659,0.110812625,0.116185359,0.063063063,0.316455696,0.302761035,-34.00158627,655.1644803,4.893690088,92.55093258,3.694029245,18.40000013,3.300000116,0.41456857,0.34563676,0.23979467,0.17330726,0.52187729,0.30481545,13.118136
2018,ATL,2377,5582,6251,1433,915,314,29,175,759,717,511,53,1290,66,43,49,99,90,36,0.256718022,6251,0.256718022,119,17,0.08174692,0.206366981,0.396124031,0.324089003,0.417413113,0.741502116,0.160695091,0.302403846,1.251872021,0.229802095,0.428172293,0.342025611,0.088495575,0.119128658,0.064709081,0.193181818,0.318899838,16.89142807,747.2028763,4.547634278,95.99744076,-0.16054488,11.00000026,1.800000116,0.40930869,0.33812457,0.25256674,0.16655259,0.4690851,0.36436231,12.63589949
2023,CIN,2492,5499,6195,1371,868,268,37,198,783,747,556,8,1500,92,29,19,101,190,48,0.249318057,6195,0.249318057,116,20,0.089749798,0.24213075,0.370666666,0.326910621,0.419530823,0.746441444,0.170212766,0.306266318,1.117014122,0.211817726,0.41587381,0.372308462,0.113651647,0.133154001,0.069837447,0.37735849,0.324639447,31.98866476,786.8133594,5.760691608,96.62940895,6.120928058,5.20000007,1.399999931,0.42723005,0.34247591,0.23029404,0.15492958,0.53768223,0.30738819,11.38153083
2024,DET,2387,5442,6021,1273,820,244,47,162,682,656,476,12,1461,52,41,4,90,76,24,0.233921352,6021,0.233921352,103,3,0.079056635,0.242650722,0.325804243,0.299617368,0.385336273,0.684953641,0.151414921,0.287823834,1.045222929,0.199850485,0.408921006,0.391228507,0.098726114,0.103184713,0.062766605,0.23076923,0.298892641,-54.36054554,649.9644237,5.031196817,95.27712855,-5.064429879,5.00000006,3.500000134,0.40809737,0.35817188,0.23373075,0.15424739,0.55017387,0.29557874,10.35950544
2016,HOU,2334,5545,6204,1367,849,291,29,198,724,689,554,31,1452,47,31,27,134,102,44,0.246528403,6204,0.246528403,137,34,0.089297227,0.234042553,0.381542699,0.318601262,0.416591523,0.735192785,0.17006312,0.297758532,1.272017045,0.212456917,0.440915805,0.346627277,0.088778409,0.140625,0.076493579,0.386363636,0.31674877,-7.357503358,723.5015528,4.480716216,101.1488472,-0.812180261,-0.30000025,-4.300000072,0.43759036,0.34120482,0.22120482,0.1746988,0.49542169,0.32987952,9.390183458
2017,TBR,2345,5478,6147,1340,854,226,32,228,694,671,545,33,1538,55,48,16,115,88,34,0.244614822,6147,0.244614822,117,13,0.088661135,0.250203351,0.354356306,0.31668299,0.42241694,0.73909993,0.177802118,0.29574468,1.183137525,0.200050645,0.433527475,0.366421878,0.100207325,0.15756738,0.068341121,0.245283018,0.315572607,-27.3584499,721.7797142,4.502038614,98.6840163,-0.38251084,7.70000007,3.900000066,0.40829585,0.34607696,0.24562719,0.18965517,0.46451774,0.34582709,9.245865092
