Season,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA.1,AVG.1,IFH,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,XBR
2017,TBR,2345,5478,6147,1340,854,226,32,228,694,671,545,33,1538,55,48,16,115,88,34,0.244614822,6147,0.244614822,117,13,0.088661135,0.250203351,0.354356306,0.31668299,0.42241694,0.73909993,0.177802118,0.29574468,1.183137525,0.200050645,0.433527475,0.366421878,0.100207325,0.15756738,0.068341121,0.245283018,0.315572607,-27.3584499,721.7797142,4.502038614,98.6840163,-0.38251084,7.70000007,3.900000066,0.40829585,0.34607696,0.24562719,0.18965517,0.46451774,0.34582709,9.245865092
2017,KCR,2342,5536,6027,1436,959,260,24,193,702,660,390,19,1166,45,37,17,160,91,31,0.259393063,6027,0.259393063,111,15,0.06470881,0.19346275,0.334476843,0.311418109,0.419617052,0.731035161,0.160223989,0.29496915,1.126013724,0.222805017,0.411630558,0.365564424,0.107922645,0.120399251,0.061495844,0.384615384,0.312251887,-44.86072161,689.6529786,4.296520729,90.90005526,1.603097436,9.200000264,-8.300000049,0.39104882,0.34538879,0.26356239,0.19778481,0.49819168,0.30402351,6.403434382
2017,SDP,2342,5356,5954,1251,804,227,31,189,604,576,460,20,1499,53,33,52,99,89,33,0.233569828,5954,0.233569828,132,25,0.077258985,0.25176352,0.306871247,0.298881735,0.393390589,0.692272324,0.159820761,0.286949473,1.134668508,0.19358205,0.428645969,0.37777198,0.133287292,0.130524861,0.080340839,0.231481481,0.297530458,-121.4938337,604.1233176,4.540364149,81.8487836,0.554622734,1.499999806,4.600000098,0.40954073,0.33823903,0.25222025,0.22684598,0.47348389,0.29967013,6.301985841
2017,ATL,2374,5584,6216,1467,987,289,26,165,732,706,474,57,1184,66,32,59,137,77,31,0.262714899,6216,0.262714899,119,18,0.076254826,0.19047619,0.400337837,0.326023391,0.412428366,0.738451757,0.149713467,0.305132411,1.46082621,0.212086659,0.4677309,0.32018244,0.071937321,0.117521367,0.058020477,0.171428571,0.315638026,-34.78978528,722.7574456,4.334950102,88.60374541,-1.437547644,9.100000039,-3.399999842,0.37995546,0.35100223,0.26904232,0.18864143,0.51202673,0.29933185,5.449043433
2017,MIN,2324,5557,6261,1444,921,286,31,206,815,781,593,26,1342,46,39,26,105,95,28,0.259852438,6261,0.259852438,100,31,0.094713304,0.214342756,0.441877794,0.334081796,0.433687241,0.767769037,0.173834803,0.305830039,1.114303959,0.21185432,0.415377291,0.372768388,0.106002554,0.131545338,0.05730659,0.392405063,0.328869754,41.91542916,804.946834,4.693070861,103.3050539,3.269419055,4.59999913,6.499999925,0.41028037,0.34626168,0.24345794,0.17149533,0.5067757,0.32172897,5.117444851
2017,WSN,2322,5553,6214,1477,920,311,31,215,819,796,542,56,1327,31,45,43,116,108,30,0.265982351,6214,0.265982351,137,12,0.087222401,0.213550048,0.40844009,0.332198995,0.449306681,0.781505676,0.18332433,0.311143984,1.225148123,0.202642132,0.439018636,0.35833923,0.088874259,0.141540487,0.073616335,0.16,0.330781195,47.81878327,805.122273,4.868205426,98.85100705,5.269073405,4.100000143,2.500000089,0.39128419,0.34747334,0.26124247,0.17779323,0.50788132,0.31432545,4.992473933
2017,PIT,2371,5458,6136,1331,895,249,36,151,668,635,519,39,1213,88,28,42,120,67,36,0.24386222,6136,0.24386222,130,15,0.08458279,0.197685788,0.427864798,0.318069916,0.385672407,0.703742323,0.141810187,0.286268801,1.442265795,0.205340264,0.469281663,0.325378071,0.080610021,0.109658678,0.065458207,0.180722891,0.304343423,-90.70362525,657.093963,4.288227162,85.11132545,-5.534958279,2.999999963,0.300000004,0.38470452,0.34994206,0.26535342,0.21181924,0.48968714,0.29849363,4.600111633
2017,CLE,2367,5511,6234,1449,875,333,29,212,818,780,604,30,1153,50,45,23,125,88,23,0.262928688,6234,0.262928688,124,20,0.096888033,0.18495348,0.523850823,0.338647342,0.449283251,0.787930593,0.186354563,0.295156287,1.167392657,0.20260989,0.429487179,0.36790293,0.093963907,0.131922837,0.066098081,0.350877192,0.335931062,78.95959403,838.7004945,4.65378647,104.9368825,4.073220077,3.400000229,3.600000106,0.42305085,0.34553672,0.23141243,0.17288136,0.50214689,0.32497175,4.598963898
2017,ARI,2360,5525,6224,1405,832,314,39,220,812,776,578,44,1456,54,27,39,106,103,30,0.254298642,6224,0.254298642,119,13,0.092866323,0.233933161,0.396978021,0.329398447,0.444705882,0.774104329,0.19040724,0.305727554,1.314326443,0.202015237,0.4531826,0.344802162,0.089807555,0.156806842,0.064533622,0.196969696,0.329230779,40.07280757,798.5950027,5.082034807,95.05511649,4.312136186,3.099999636,5.000000082,0.38210399,0.36565901,0.252237,0.17363966,0.48101572,0.34534462,4.094437617
2017,STL,2416,5470,6219,1402,894,284,28,196,761,728,593,36,1348,65,44,47,139,81,31,0.256307129,6219,0.256307129,120,21,0.09535295,0.216755105,0.439910979,0.333765392,0.42595978,0.759725172,0.169652651,0.303778337,1.212491513,0.209747817,0.433074684,0.357177497,0.082824168,0.133061778,0.067189249,0.235955056,0.325645782,20.82942057,778.742263,4.35495228,100.8234354,-0.754070492,2.500000305,0.299999915,0.41371944,0.33895087,0.24732969,0.18324235,0.49228578,0.32447187,3.456562385
